user_id,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9,rec_10
1,5122,4838,5248,7742,5140,7608,5493,6823,6119,9110
2,6108,14278,12036,8319,13736,12218,7700,6634,6668,12138
3,4600,8581,6108,13983,13527,14278,13344,12394,6370,7700
4,4600,6108,8581,14278,6370,13983,5520,13527,13344,11018
5,4600,8581,6108,13983,13527,14278,13344,12394,6370,7700
6,5460,7700,8733,5545,6653,7488,7638,7945,6114,10066
7,12117,12762,13777,14777,10882,12051,13736,13506,13107,14665
8,6998,12716,8985,8843,6668,12036,6161,10557,8067,10311
9,5444,5520,7390,12051,8740,7165,10113,4720,5527,7337
10,4600,8581,6108,13983,13527,14278,13344,12394,6370,7700
11,5970,10557,12051,7811,10836,7902,8768,13777,14938,6668
12,11244,13139,6559,13736,12270,13529,11018,11403,12036,13728
13,8581,4600,13527,11304,14605,14837,13736,14096,14462,14597
14,5357,6668,5621,9644,6664,6230,7535,7582,14426,14261
15,9988,12138,9476,9286,12187,12583,11162,11018,12218,11403
16,12900,13506,13736,14016,12762,13119,14465,13326,14158,13485
17,5949,14874,6945,6463,12762,6755,7902,12051,10836,10696
18,7974,9476,10836,9633,7700,8777,10366,11403,10696,8505
19,9712,12110,11764,13486,13326,10773,14358,10113,14225,14158
20,4600,8581,6108,13983,14278,13527,13344,7700,6370,12900
21,4600,8581,6108,6370,12394,13983,12900,14278,11304,13344
22,13527,14767,13385,14777,14278,14358,13777,13506,14258,14158
23,5896,10174,10312,7742,8434,6657,6309,6484,12051,6576
24,5557,13144,6119,9286,9483,9942,8546,6980,9512,11041
25,13613,14358,14767,14245,13777,13331,13736,14261,14224,13349
26,13344,13777,13120,14777,12941,14234,14556,14277,12750,12762
27,4600,8581,6108,13983,13527,14278,13344,12394,6370,7700
28,4600,8581,6108,14278,13983,13527,13344,6370,11304,7700
29,12319,12762,13506,13120,13777,13484,14777,13384,14040,13443
30,14874,12270,12588,12061,14277,13736,12762,13849,14299,14163
31,2721,4892,5937,4767,6515,4956,3392,4906,3045,3249
32,14801,12214,13331,13408,14767,13537,14509,14389,13008,14186
33,8021,9793,11018,9044,9372,11373,9231,12051,10848,6755
34,12270,14705,13301,13539,13736,2694,9827,12433,1114,2268
35,13586,13309,13474,14689,13736,14206,13882,13782,13301,12965
36,13072,13736,13678,13188,14612,14542,13135,13384,14605,13417
37,12352,14358,12270,13484,11819,13736,14509,14597,13768,13882
38,14837,14597,13736,14096,12716,13410,14496,14852,13972,14672
39,7847,8546,9476,13439,12013,11162,8843,13736,12138,12051
40,10566,13636,13599,13736,13882,13506,12716,13674,13118,12793
41,5541,6668,10113,10366,6330,13649,6367,11488,6161,11403
42,6690,8328,7742,7608,8768,10773,11944,12110,11658,9273
43,11365,12149,10113,11959,12051,11488,12118,8546,13486,12143
44,5541,6668,10366,10113,6330,11488,6161,6367,11403,13649
45,11775,13736,13107,13118,12138,14692,13882,12588,13484,13120
46,10557,11018,10113,12716,11592,11403,10068,10836,13746,13885
47,13649,13336,13746,13709,12036,14549,14358,12138,13527,14170
48,2448,5326,7742,2463,4975,4368,4230,5397,3227,3806
49,7737,9031,7608,8768,11762,8814,13311,10113,11187,10557
50,12610,12762,13120,13384,12854,13044,12051,13736,13107,13119
51,10206,12118,12051,12274,11658,12460,11159,12762,10113,11018
52,11887,12051,14186,13077,13777,13156,13349,13384,14158,12366
53,5537,8441,13385,6668,9793,10113,8546,12956,7582,10450
54,12051,12762,12854,13777,12366,12460,12459,12118,12513,12772
55,5077,11073,7833,12675,6673,4321,11819,6301,6108,8740
56,4508,4416,4230,5266,6022,8269,7638,4778,5712,5362
57,6108,12036,14278,11018,6668,8319,12218,12138,11162,6648
58,12459,12051,12854,13349,14903,13736,12772,13688,13326,13746
59,13535,13777,14767,14509,13077,13539,14096,13385,12198,14277
60,11214,12187,10557,13736,11810,13439,7608,11349,12051,12138
61,11634,13736,12410,13439,12138,13118,10074,12588,13190,13882
62,4207,5091,4028,5791,4945,5822,7889,7838,4119,7086
63,7942,11919,12036,8152,10429,9247,10836,8768,11187,12061
64,4945,7838,7318,10113,5827,6651,7086,10659,5447,6872
65,12081,13586,13736,12498,12588,13882,12800,13118,13349,13580
66,9044,10066,9631,10773,10696,11221,11018,12013,12051,10461
67,8279,13188,12138,14169,12583,13856,11623,13736,13072,11819
68,11634,13736,12410,13439,12138,13118,10074,12588,14547,13190
69,11634,13736,12410,13439,12138,13118,10074,12588,14547,13190
70,5357,6668,5621,9644,6161,7582,14261,7318,14672,14426
71,13443,14465,13385,14767,14777,14358,14665,13777,14158,14517
72,5357,6368,6668,7535,7582,5621,5914,7679,5173,5937
73,5357,6668,5621,9644,6161,7582,7318,14672,14261,14426
74,12142,13746,13326,12716,14358,14910,12271,12588,13736,14465
75,6379,11403,10023,7638,9793,11592,11162,8768,11018,9316
76,9190,12051,11018,10429,12782,11572,14710,10773,10055,12885
77,5357,6668,5621,9644,6161,7582,14261,7318,14672,14426
78,14561,14464,13876,13777,14580,14314,13736,12854,14102,14245
79,9942,11018,10557,13875,11162,10687,10113,13486,12794,11403
80,14705,12270,2694,13736,1114,13301,12433,5937,9827,2268
81,2862,5937,5248,3552,4139,3317,3336,4045,3616,3392
82,5357,6668,5621,9644,6161,7582,14261,7318,14672,14426
83,5357,6668,5621,6161,7582,6664,7535,9644,5441,7318
84,13620,13188,13526,13135,14605,14491,13777,12836,14496,14102
85,5357,12716,6668,6161,9668,5937,14813,7582,6998,14672
86,11611,14777,13156,12138,11018,12272,13736,13487,13882,13107
87,5541,6668,6161,10113,11488,10366,6330,9793,11403,6367
88,14942,9820,10785,12690,10976,8641,12240,10114,14147,12512
89,5357,6668,6161,7582,5704,7318,5621,9644,6664,12716
90,13417,14358,14390,14389,13476,14224,14612,14491,14245,14777
91,12287,11634,13586,13736,13214,13521,12588,14738,14202,13118
92,8658,12051,10055,11373,10176,11415,10711,8546,9793,14396
93,9663,12318,11373,13424,13678,9476,13736,11018,12381,12793
94,5357,6668,5621,9644,6161,7582,14261,7318,14672,14426
95,4116,14759,12051,6161,9663,9042,6634,10055,9531,6664
96,4116,14759,12051,6161,9663,6664,6634,9042,9531,10055
97,14759,13527,14767,14440,14605,14278,14517,14852,13385,13856
98,13024,12836,13736,13359,12051,13112,13577,6230,12118,12700
99,8440,13344,10055,9165,12941,8319,14408,11249,8455,8799
100,12864,13439,12138,13188,14581,13777,13326,13118,14454,14102
101,14018,14581,14202,13349,14833,13530,13736,12836,13118,13439
102,13448,14605,13410,13428,14096,13472,13909,13384,13326,13292
103,12742,13736,12410,11634,12800,13439,13882,13960,12270,12138
104,12776,13736,13882,14066,13118,12800,13331,12081,13885,13668
105,14705,12270,2694,13736,13301,9827,4900,13539,1114,2268
106,6889,10836,11162,11018,8768,9165,8843,11768,6634,9185
107,14928,14612,14358,13028,14158,14498,14307,13506,14169,13336
108,14928,14612,14358,13028,14158,14498,14307,13506,14169,13336
109,13649,13336,13746,13709,14612,12036,6668,14358,10113,13315
110,13649,13746,13336,10113,13709,13688,12036,14170,12138,13326
111,7216,12051,7742,8252,11658,7705,7608,8774,10173,9247
112,14928,13028,14612,13119,14158,13403,13688,14307,13326,13506
113,14928,13028,14612,13506,14358,14158,13326,13403,14903,14169
114,11768,11018,12110,12651,11159,13156,13736,13527,13072,12138
115,14928,14612,14358,13028,14158,14498,14307,13506,14169,13336
116,13228,14277,13505,14093,12519,14174,13428,13736,14050,14990
117,12232,12366,13777,12051,13736,12854,12762,12610,12955,14990
118,14161,12984,13135,14248,14102,13736,14224,13331,13777,14581
119,13678,13736,14542,14358,13417,14777,14093,13077,14102,13506
120,13678,14096,14767,13077,14556,14224,13878,13736,13777,14358
121,11655,12051,12984,12622,13384,12749,11874,12322,14354,12498
122,13678,14096,14224,14556,13777,14767,13077,14358,13878,13736
123,12067,12051,13077,13709,12621,12896,11658,13878,13505,12110
124,13273,13828,13326,14224,13359,13077,14358,13777,13384,13678
125,13678,14224,13077,14096,13777,12762,14102,13539,14169,14556
126,13678,14096,14224,13736,13077,14556,14767,13777,13878,14777
127,13678,14096,14767,13077,14556,14224,13878,13736,13777,14358
128,13678,14096,14556,14224,14767,14358,13077,13736,13777,13878
129,13678,14096,14767,14556,14224,13077,13777,13878,14358,13736
130,13678,14096,14767,13077,14556,14224,13878,13736,13777,14358
131,13678,14096,14767,13077,14224,14556,13878,13736,13777,14358
132,13678,14096,14224,14767,13077,14556,13736,13777,13878,13506
133,3404,3748,6733,3808,6770,4550,4139,5360,6009,5697
134,8737,10773,11221,8434,12051,10304,11658,10160,11155,8768
135,13678,14096,13077,14224,14767,14556,13878,13777,13506,13736
136,10617,12750,4007,14170,4861,14777,9428,14245,14195,14410
137,11762,14358,11901,13374,12250,11874,13648,12626,13535,12593
138,12369,13505,12051,12877,12759,13795,12854,13736,13842,12118
139,13678,14096,14767,13077,14556,14224,13878,13736,13777,14358
140,13012,13736,14016,14556,14224,13119,14035,13331,14093,14983
141,8290,9544,8067,14509,13471,8822,8548,9044,12673,6230
142,13678,14102,14612,13417,14542,14093,14556,13359,14358,13777
143,7593,11658,10456,13077,10429,12110,12051,12121,12762,6634
144,12270,13301,14705,13736,12433,13408,9827,12154,13439,14738
145,13678,14224,14358,13359,14102,13777,13539,14096,13077,14556
146,13678,14096,14767,13077,14556,14224,13878,14358,13736,14169
147,12839,13077,14840,14990,13777,14174,13120,14496,14556,13428
148,14195,14158,14224,13417,13786,14767,14245,14517,13310,13077
149,13678,14224,14096,13077,14767,14556,14358,14777,13506,14612
150,13228,13736,14093,14277,13505,13485,13119,13428,14050,13156
151,12586,12023,13537,14454,13077,14439,12900,14158,14617,14983
152,13678,14358,14840,14224,13736,13077,14096,13777,13878,14777
153,13678,13077,14224,13359,14767,14777,13878,14096,13417,13527
154,4508,5266,4416,4230,8269,4778,6022,7638,6119,5712
155,14803,14777,13777,14358,14767,14169,14556,13527,14158,14277
156,4732,6634,4853,10429,5791,13315,7608,4925,6309,5621
157,3780,6739,14719,13404,4691,5073,7884,3881,5266,3463
158,12513,14542,12051,13120,13777,12854,14777,12762,14093,12956
159,10741,13214,9162,7719,14604,12284,12131,13439,13736,13156
160,8843,12138,8768,12036,11162,12051,9286,13349,13439,11403
161,8843,13439,12138,11138,12036,12051,13349,9286,11162,12794
162,13678,14224,13077,14096,13878,14358,14777,13506,13736,14840
163,14131,12864,13439,13736,14581,12274,13563,13484,13349,13156
164,13570,13678,13777,14245,13107,14358,14224,13077,14542,14258
165,8843,12138,12036,8768,12051,13439,9286,13349,11138,11162
166,14695,14115,4258,13408,9820,14195,6782,13331,7413,13586
167,14546,14307,14358,14547,13963,13736,12588,14978,12716,14158
168,13678,13107,14096,14102,13359,13135,14807,14224,13736,13077
169,8843,13439,12036,12138,11138,9286,12794,13565,8975,13349
170,14890,14605,13384,13527,12762,13736,13135,12985,13777,14777
171,3619,6668,5288,7871,5520,12051,4727,6396,3764,6108
172,7196,8152,9139,9167,10773,8067,11658,10848,12110,7559
173,8205,7427,9828,9042,13324,10055,12187,12916,12459,13746
174,13698,12700,13384,12864,13777,14016,14169,13909,14120,13736
175,3619,6668,5288,7871,5520,12051,4727,6396,3764,6108
176,13509,12762,14169,13506,13787,13103,12036,14016,13940,14777
177,13649,13336,12036,13746,14549,13709,12138,14358,14612,13527
178,8441,12036,11187,10113,10385,8768,12051,10206,12588,8434
179,7871,6668,12036,12138,11018,13072,12051,8768,9718,6161
180,8546,10113,10366,12903,10687,6668,12401,11403,11018,13028
181,13175,6161,13439,12051,13688,12341,13118,13315,13527,12971
182,3619,6668,5288,7871,5520,12051,4727,6396,3764,6108
183,7535,11403,13736,8768,12036,7321,6668,11018,10836,11162
184,10567,12138,13736,13746,8768,12294,14716,13188,11373,13118
185,5697,7608,8768,6967,6998,6088,7343,7884,8514,10557
186,11854,14096,3751,13746,540,10796,14163,9534,14170,5939
187,12948,13777,12181,13008,13736,12256,14605,12051,12161,14580
188,11972,12900,13736,14903,14597,14990,12366,12051,13578,13505
189,8843,11138,12138,8768,13439,12036,12051,12794,9286,8067
190,13005,13777,14245,13736,14542,13331,13529,14358,14581,14777
191,11365,12149,12051,10113,13486,11959,11901,11762,11458,13649
192,13207,13777,14093,12955,12051,13107,12854,14158,13603,13384
193,5903,6755,10527,7337,6297,7811,11373,6330,11623,8152
194,11611,11018,12138,13156,13882,10836,13736,10360,12610,10113
195,5742,5545,8159,7005,6847,6098,7638,10055,5619,7165
196,13711,14465,13120,12854,13777,13384,14224,12762,14777,14093
197,12429,14245,13529,13777,12762,7837,13903,13107,13005,13485
198,2489,10113,14120,8546,2854,10360,4785,10366,3574,3476
199,7468,9793,10113,9316,9672,7165,11592,11155,10848,10659
200,13649,13709,12036,13336,13746,10113,14549,12138,13527,14358
201,9441,12118,11159,11658,10366,12126,14021,12051,10113,12460
202,5742,5545,8159,7005,7638,6098,6847,10055,5619,10773
203,6668,8546,11403,8067,12036,8843,12138,11488,11018,10366
204,4838,13385,6119,14204,8546,6297,13443,6668,6739,5248
205,8546,10113,10366,10687,12903,6668,10360,11018,13487,12401
206,5436,12901,10773,11312,7636,12569,8983,7638,5858,8152
207,12172,13780,12051,12762,12842,13326,13418,14277,13135,14026
208,5158,6089,6230,6634,6088,6872,6430,5408,6143,6628
209,14637,14358,13736,14990,12544,14617,14713,13746,14807,13485
210,12270,14705,13301,9827,1114,12433,14738,5937,4900,13736
211,5541,6668,10113,10366,6367,13649,6330,6161,11488,9793
212,11592,14716,13443,13077,11018,11159,11403,11198,14358,13777
213,11643,12749,13156,11018,13736,13104,11162,12800,14107,13384
214,5786,7847,6506,12177,6664,12138,8774,4503,8365,9942
215,12270,14705,13301,2694,1114,13736,4900,13539,2268,12836
216,10567,12138,13736,13746,13118,14716,8768,11373,13331,12294
217,13310,14777,14224,13326,14767,13077,12762,14358,14169,13506
218,14928,14358,14612,14498,13028,14158,13336,13506,14307,14784
219,13107,14665,13527,13746,13777,14612,14777,14358,14206,14258
220,6215,9273,9247,6370,9057,10366,8505,9701,8319,9231
221,8843,12138,12036,12051,13439,11138,8768,13349,9286,8975
222,13649,14549,13746,14170,13336,13709,14358,14169,12036,14612
223,14549,13649,13746,14170,13736,14358,13630,10113,6131,14939
224,13649,12036,13746,13336,13709,12138,14549,14612,13688,14358
225,13649,13336,14549,13746,13709,12036,12138,14170,14358,14612
226,8001,12588,10687,12218,7638,10773,7742,12118,10074,10385
227,13649,13336,14549,13709,13746,12036,14358,14170,12138,13527
228,13649,14549,13746,14170,13336,13709,14358,14612,14169,13315
229,5357,6668,5621,9644,6161,7582,14261,7318,14672,14426
230,6161,6668,12036,8843,13649,11403,12051,7871,6664,8546
231,13649,12036,13336,14549,12138,13746,13688,10113,13709,13005
232,13649,13336,14549,13746,12036,13709,12138,14358,14612,14170
233,12759,12955,12793,12854,13777,14791,13736,14186,13410,13443
234,13649,13336,14549,13746,13709,12036,12138,14612,14170,14358
235,13649,13336,13746,14358,13709,14549,12036,14612,12138,14170
236,11488,11018,11403,12138,12274,12460,10366,10113,14358,12036
237,13649,13336,14549,12138,12036,13746,13709,14358,14170,13527
238,9901,11373,12070,13767,12034,10693,11312,12204,11060,9787
239,12662,13777,13736,13349,12762,14777,14542,13156,13529,14186
240,13109,14102,13736,14542,12762,14093,13777,13688,13120,13119
241,13649,12036,13336,12138,13746,14358,6668,13709,10113,14549
242,13649,12036,13336,13326,13746,10113,13527,12138,14358,13709
243,13637,13135,14066,13736,12762,14605,14245,14347,14224,13331
244,13649,13336,14549,13746,12036,13709,12138,14358,12794,14170
245,12723,12270,12634,14869,12301,9476,12410,14831,12583,13736
246,12546,13777,12762,12051,14990,13903,13505,13736,12460,13077
247,12254,12270,14689,13736,12583,9476,12891,12880,13408,11908
248,9163,14505,9841,12566,7920,9668,13301,9476,8556,12612
249,12297,14574,13331,14556,13736,14704,14217,13428,12828,14831
250,13649,13336,14549,13746,13709,12036,12138,14170,14358,14612
251,9070,10773,11658,11621,12279,11159,12051,10696,12545,11459
252,10094,12051,12322,10435,12172,8983,12182,12011,11547,8503
253,6668,8546,8067,11403,8843,12036,11488,11018,6161,11162
254,12390,12138,12036,12864,12270,9483,13439,12374,13736,13487
255,12865,12366,12762,13736,13506,12749,13331,12591,13161,12051
256,13515,13331,13530,13521,14646,14689,13043,13777,13656,13537
257,5308,6089,6370,7884,6664,5545,7468,10659,7638,6628
258,5019,6894,6089,8016,7889,7116,8319,6742,9476,6215
259,9471,11072,12051,12138,6755,9165,10773,9793,11942,12169
260,13369,13385,14767,13527,14499,14777,13736,13777,14258,14517
261,13090,14617,13963,14581,14206,13359,14807,13326,13417,14491
262,6233,13342,10113,10773,13603,12061,12941,9588,8287,11018
263,13506,14767,14358,13326,14777,14307,14169,12762,14612,14158
264,2801,3808,3806,13122,3510,4955,4119,3031,3053,5069
265,5007,8843,8067,6668,12138,6705,13305,6673,6161,7935
266,10621,12036,12138,13103,13736,12218,13156,13309,13349,12799
267,13072,13736,13188,13678,14612,13135,14542,13384,14605,14170
268,4231,14592,3463,4398,5254,8152,10280,9273,6894,7608
269,9210,13736,13439,9903,12051,9668,14536,11018,13582,10335
270,12742,13736,12410,13960,12270,12138,13882,12036,11634,13439
271,8337,10366,10113,8768,13486,11018,10687,9286,13506,6309
272,13678,14096,14767,13077,14556,14224,13878,13736,13777,14358
273,4985,4855,5892,5937,5078,7905,4819,6344,6714,6694
274,14049,14882,1078,5704,6252,14096,554,155,3115,2069
275,12616,13539,13709,13777,14665,13326,14704,13535,13674,14055
276,9286,11162,12456,11018,11901,10773,13527,12138,13439,11403
277,12188,13736,12138,13156,13533,13439,13188,13349,12051,14446
278,11304,13736,14605,14947,13527,10924,14597,8581,4600,13410
279,8048,10113,10753,6088,11018,11312,12048,6852,10206,7811
280,7135,11162,7316,8768,9465,13746,14258,9215,9051,10848
281,14928,14612,13028,14358,14158,14498,13506,14169,14307,13336
282,4757,4658,8843,7811,10461,14378,6668,14831,12036,7841
283,13417,14358,14224,14612,14245,14665,14195,14767,14465,14314
284,13417,14224,14358,14245,14612,14665,13331,14465,13786,14195
285,3247,8953,13384,4404,5373,12750,4658,5617,9167,12985
286,9331,9374,12118,12221,11658,12782,8768,11173,10174,10902
287,2870,4678,4377,4658,14169,2854,4537,4581,8718,3921
288,5357,6668,5621,9644,6161,7582,14261,7318,14672,14426
289,12985,14777,13777,12762,14767,14224,14465,13384,13678,14840
290,13417,14358,14224,14245,14612,14665,14465,14767,14195,14314
291,10687,13486,10113,13139,10366,13709,11403,12138,13649,13118
292,13417,14358,14224,14245,14612,14665,14767,14465,14195,14314
293,12702,13777,14103,14224,13135,12854,14767,14277,14245,14807
294,7871,6668,12036,11018,12138,13072,12051,6161,8768,11060
295,10476,8000,12772,14358,2261,13537,14096,12750,13777,13077
296,12662,14777,13736,12762,13349,13777,14542,13156,14358,14245
