user_id,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9,rec_10
1,5122,5881,5166,6764,4838,5712,5036,6387,5140,7608
2,6108,8135,8810,12776,11287,8019,12065,12204,8319,12574
3,4600,8581,6161,13097,6108,12394,11304,13527,13410,12715
4,4600,8581,6108,6161,12394,13097,11304,12715,13344,4590
5,4600,8581,6161,13097,6108,12394,11304,13527,13410,12715
6,5460,5741,5881,8302,12065,7468,6619,8740,6036,7916
7,12117,13708,12953,13292,9671,11187,12915,14158,13506,12537
8,6998,10115,12204,11765,10074,9286,10068,7468,9910,8319
9,5444,6000,13065,7369,12956,8186,9247,7390,11640,6668
10,4600,8581,6161,13097,6108,12394,11304,13527,13410,12715
11,5970,7008,13878,14770,6297,8319,8207,7871,8019,6668
12,11244,12017,14446,10527,11648,9822,14300,11634,14047,13875
13,8581,13097,4600,13527,14073,13410,13656,13674,12715,6161
14,5357,14426,8337,8658,14261,5621,5286,9644,5879,6140
15,9988,11104,14636,12456,11634,11887,12401,13674,10068,8019
16,12900,13893,13506,13109,13709,13678,13746,14261,14770,13461
17,5949,10203,7742,12458,7638,6469,8272,8057,7299,6008
18,7974,9633,11018,8272,12670,8319,11535,10848,12318,11592
19,9712,13156,8652,11765,11187,13656,9051,10687,11352,11126
20,4600,8581,6161,13097,6108,12394,11304,13527,13410,12715
21,4600,8581,6161,13097,6108,12394,11304,13410,5881,12083
22,13527,13674,14782,13963,14007,13893,13956,13491,13207,12793
23,5896,6873,8565,6997,6484,8505,7628,10642,7843,9051
24,5557,9476,13144,11041,6634,6670,7195,7390,7700,6648
25,13613,13963,13656,13104,13292,14358,12753,14513,12953,14124
26,13344,14675,14509,14398,14792,13575,13005,14770,14590,13282
27,4600,8581,6161,13097,6108,12394,11304,13527,13410,12715
28,4600,8581,6108,6161,12394,13097,12715,13410,7582,9988
29,12319,12664,13156,13331,14258,13335,12956,12938,13161,11350
30,14770,14874,13977,14379,12656,14792,13716,12366,12019,7874
31,2721,2223,4906,4697,5111,9476,4650,2866,2508,5141
32,14801,14542,13746,12214,14498,14258,14556,14446,13473,14886
33,8021,10848,11997,12125,10773,10054,8658,13797,9787,9773
34,12270,1827,3062,3518,3404,7638,14765,8019,11018,12525
35,13474,13782,14586,13582,13604,14765,14517,13956,13491,13565
36,13072,14258,14302,14007,13428,14556,14251,14542,14304,12914
37,12352,14270,13787,14096,14316,13798,3568,14765,12017,13331
38,14837,13678,14446,13674,13491,13878,14542,13885,13410,11098
39,7847,9476,11162,10872,9671,10115,10981,11634,8628,12366
40,10566,13073,14586,13025,12401,11611,14498,12664,13604,13005
41,5541,9822,8441,7450,6668,6330,6114,6161,8184,10687
42,6690,10094,8676,9698,11944,8658,6650,12113,12645,11064
43,11365,11018,12273,12591,12118,11634,13782,13708,12456,12953
44,5541,9822,6668,8441,6330,7450,6220,6161,8184,7535
45,11775,14960,14459,12555,11911,14692,11018,13297,13072,13674
46,10557,12010,12840,13753,13708,12911,12318,11611,13714,12793
47,13649,14517,13292,13336,13604,12664,14886,13565,14124,13556
48,2448,5897,3502,6997,6943,6873,5250,2924,3770,4812
49,7737,10890,8441,9372,12340,9441,9671,12459,10848,13415
50,12610,13656,13156,13331,14055,14093,12840,13136,13528,12591
51,10206,12366,11018,11581,12953,11646,13292,10848,11060,10773
52,11887,13104,12953,13708,13437,13674,12858,13580,12909,12381
53,5537,12956,11345,8019,6681,9247,8492,7179,14258,7337
54,12051,12366,11350,12610,12473,12273,12591,13656,13410,11345
55,5077,11073,14055,6018,6650,5813,5820,6103,6251,4321
56,4508,5362,7390,13702,4655,5974,4784,5721,6138,6681
57,6108,8135,8019,7390,8814,8810,12574,7843,13702,8319
58,12459,12953,12401,11933,13656,14358,12793,13709,13292,14556
59,6041,4836,14765,13674,13988,12214,4087,3404,14509,3658
60,11214,10366,12953,12273,12204,12187,12001,12891,8978,12555
61,11634,14047,13563,13782,13012,13882,13118,11643,12410,11656
62,4207,4945,5091,7838,5190,7060,6290,4028,10848,6997
63,7942,8975,10115,8019,8875,8319,10104,9286,9512,11919
64,4945,7838,6651,6997,4207,5036,6873,7135,7599,7468
