user_id,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9,rec_10
1,5122,4838,6359,4812,5558,6307,6998,5697,6919,5635
2,6108,13173,9988,9512,7535,6998,13566,12065,9701,6161
3,4600,8581,7165,6114,4530,5085,5352,6108,7833,13686
4,4600,8581,13744,6108,5085,5352,6998,4853,7165,6114
5,4600,8581,7165,6114,4530,5085,5352,6108,7833,13686
6,5460,9988,9286,11308,8799,5970,6889,6036,7196,7582
7,12117,14498,14158,14767,13335,14288,14185,14928,13835,11933
8,6998,8985,8799,10918,7830,12065,9139,7312,10898,10836
9,5444,5911,5589,9051,5308,7485,8774,5085,7582,7165
10,4600,8581,7165,6114,4530,5085,5352,6108,7833,13686
11,5970,7008,8962,8799,8293,9183,10456,9650,8505,11250
12,11244,14446,13461,14066,10687,14158,10621,11911,14547,13686
13,4600,8581,13744,12093,14261,11304,14904,14837,13686,14767
14,5357,5441,11168,8658,7165,5621,5034,5791,9822,6998
15,9988,10068,10687,11522,9286,10836,8799,12662,11592,10589
16,12900,13461,13686,14158,13807,13346,13960,14288,12911,13687
17,5949,10376,10848,6106,5970,7196,6712,7216,7974,6764
18,7974,7700,9069,9857,14625,10882,6402,7165,12716,10561
19,9712,13686,9051,10146,13312,12727,13835,12294,12538,11904
20,4600,8581,6108,5352,7833,5085,4530,7165,6114,6998
21,4600,7165,8581,5085,4853,6114,4530,5352,4762,6672
22,13527,14767,13461,14158,13744,14888,14288,14665,13676,14605
23,5896,7216,8293,7593,9051,10160,7810,6865,8814,7347
24,5557,6161,6909,8514,6067,11018,5447,14107,10687,5386
25,13613,14612,13777,12093,14767,13779,13963,14066,14206,14446
26,13344,14888,14675,13748,13348,14130,14185,14947,13120,14261
27,4600,8581,7165,6114,4530,5085,5352,6108,7833,13686
28,4600,7833,8581,6108,7582,6114,6998,7165,8308,5085
29,12319,13686,14140,11522,13312,13529,13611,11187,13748,14665
30,13188,14874,7568,11874,13687,14347,12817,9292,12877,12645
31,2721,4906,7617,4530,4321,2869,3019,4620,2508,6235
32,14801,14185,14288,13779,14767,14777,12093,14140,14150,14261
33,8021,12125,12279,13180,12274,6203,7407,8320,13728,10133
34,10312,13954,13779,6796,10562,9698,12232,6711,13748,14185
35,13474,14066,12776,10589,6998,11632,14697,11629,14767,14665
36,13072,14767,13748,13577,14158,12093,14170,13736,13543,14665
37,12352,14316,13312,14509,14932,12819,14767,13556,14976,7879
