user_id,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9,rec_10
1,5122,7351,5339,4838,6116,5166,3995,7742,11706,5961
2,6108,10836,12065,7712,14935,9988,7582,12401,13461,7871
3,4600,8581,5166,5982,6743,6108,6189,5547,12190,13491
4,4600,8581,5166,5982,6743,6108,6189,13491,12190,5547
5,4600,8581,5166,5982,6743,6108,6189,5547,12190,13491
6,5460,6648,7535,10557,8975,9265,8740,6681,6789,5386
7,12117,12473,11648,12538,13278,13491,14234,12911,14771,13656
8,6998,9476,8985,13474,7312,8252,9942,7406,7830,8007
9,5444,12088,7617,6307,8505,8434,8252,6215,6733,6972
10,4600,8581,5166,5982,6743,6108,6189,5547,12190,13491
11,5970,10836,7754,8505,10835,8432,7008,12088,10659,6108
12,11244,13139,13461,12591,12547,13688,14446,14140,12318,12473
13,8581,4600,11304,14837,13491,13230,14536,13527,11597,13097
14,5357,8712,9644,5603,6161,14426,5961,5307,12473,6022
15,9988,12138,13688,12187,12555,13461,10068,14636,13782,12906
16,12900,13326,12547,13461,13787,12473,13491,13963,14465,14642
17,5949,8252,7902,8597,13211,6463,7942,10376,7343,5451
18,7974,12088,8152,10836,8432,8505,11883,12400,8733,10160
19,9712,13336,14556,13326,13818,12138,13028,11858,13443,12547
20,4600,8581,6108,5166,13491,5982,9441,6972,4726,6743
21,4600,5982,8581,5166,5547,6189,6972,10557,11597,6743
22,13527,13637,14665,13491,14459,13374,14877,13461,14245,14166
23,5896,6463,8676,8505,8252,7468,9273,8328,8712,6484
24,5557,6161,5786,8252,5842,7950,7705,11706,7343,6463
25,13613,13118,13963,13733,12547,13461,12956,12138,12911,13940
26,13344,14277,12318,13695,13309,14675,13529,13909,14944,14827
27,4600,8581,5166,5982,6743,6108,6189,5547,12190,13491
28,4600,8581,12190,11597,9441,4331,7132,5166,6189,5982
29,12319,12473,12070,13156,13506,14240,12908,12093,14102,12932
30,14874,14591,14277,12088,10160,7860,13230,5613,10719,11180
31,2721,2223,4134,3803,3173,4695,3319,5103,3540,5605
32,14801,14277,13127,13335,12214,13331,14499,14756,12938,14521
33,8021,8152,8002,8194,10133,9044,9273,6352,7196,8434
34,3305,4478,3799,1637,4459,12473,3829,4955,3629,11706
35,13474,13461,12776,13818,13349,12190,13336,10909,14096,10605
36,13072,14580,14277,13012,12400,13461,12341,13369,13530,13909
37,12352,14277,13565,13579,14520,13374,12341,11706,12591,13461
38,14837,13230,13909,13119,13326,13656,13535,12268,14580,14277
39,7847,11365,9273,12138,11187,10557,7950,10038,12246,9476
40,10566,13539,14446,13365,14756,13668,14174,12626,13073,14234
41,5541,6161,6668,6240,6356,13611,9689,10206,5718,9441
42,6690,8434,10206,9698,7468,7742,8152,11944,8712,7608
43,11365,12246,12138,12903,11768,12381,11522,10621,11187,9631
44,5541,6161,6668,6240,6356,9689,13611,10206,9441,6119
45,11775,11159,12341,13072,13609,14034,12535,13579,13369,14580
46,10557,13753,10836,11706,12473,12208,11278,11030,11561,12298
47,13649,13336,13461,14665,13787,14358,12138,13556,13476,13410
48,2448,8252,3540,5759,4236,5397,8159,10174,8434,11706
49,7737,10557,11561,11762,11706,11768,10848,11592,9208,7390
50,12610,14151,12591,13461,13349,14877,13410,12907,12641,12538
51,10206,11159,11256,11706,11155,11882,12138,12051,12906,10330
52,11887,11706,11768,13461,12910,9822,12547,12063,13349,13104
53,5537,8328,6668,5255,7390,5965,7810,6463,12088,6352
54,12051,12473,11706,11762,11159,12912,12535,11256,13156,14556
55,5077,14136,14096,6301,12738,12331,7754,14606,13331,13983
56,4508,11706,5961,8152,11652,7468,5071,6088,4584,5308
57,6108,6972,10836,8712,6124,9822,7712,6710,7582,8252
58,12459,13410,11762,13336,13461,12900,13156,13579,14234,11159
59,14678,13336,14983,14756,13535,13787,14606,12912,13410,14517
60,11214,10362,12187,13434,12906,13819,12547,11768,11706,13218
61,11634,13461,13963,13565,13309,12287,14277,12908,13335,12017
62,4207,5091,4028,6845,5663,4945,7468,7838,5308,14134
63,7942,9942,14234,11187,10206,8440,7950,10366,12138,12664
64,4945,8712,5827,8152,5603,9208,5487,8777,5701,5397
65,12081,13668,13461,13309,14580,14742,14665,12591,14983,13630
66,9044,10836,9888,10461,11002,12036,11916,9785,9461,11018
67,8279,4726,14711,5055,8313,9086,5098,11768,12589,12318
68,11634,13461,13963,13565,13309,14277,12287,13335,12908,12017
69,11634,13461,13963,13309,12287,13565,12138,12017,13335,14277
70,5357,9644,5603,6161,8712,5307,12473,14426,6022,5420
71,13443,14234,13818,14358,13869,13410,13787,13535,12912,13630
72,5357,8712,9644,6161,5307,5603,14426,6034,7679,6022
73,5357,9644,5603,8712,6161,5307,14426,12473,5420,6022
74,12142,14910,14877,14234,14983,13792,13963,12271,13331,14151
75,6379,9273,5965,9508,7468,10206,8152,8365,6668,8434
76,9190,11706,9465,8434,10854,11287,10773,10039,10557,8152
77,5357,9644,5603,6161,8712,5307,12473,14426,6022,5420
78,14561,13787,14580,13556,14923,13461,13909,14240,13678,13963
79,9942,12138,12273,11933,10605,9880,10557,10909,12301,12716
80,11706,3655,3305,1643,1911,1629,13154,4561,2468,12473
81,2862,5772,5397,10461,5484,4333,5482,3523,6034,5965
82,5357,9644,5603,6161,8712,5307,12473,14426,6022,5420
83,5357,9644,5603,6161,8712,5307,14426,6034,5961,7679
84,13620,13526,14248,13140,12820,14756,14234,14542,14277,12912
85,5357,9644,14426,5603,5307,6161,8712,5420,6119,6209
86,11611,12138,12547,13461,12800,13940,10836,12063,14148,12036
87,5541,6161,6668,6240,6356,9689,13611,10206,9441,6119
88,12612,11763,10314,14942,12405,12686,12268,11483,10258,11136
89,5357,9644,5603,8712,6161,5307,14426,12473,5420,6022
90,13417,13336,13461,13787,14358,13476,14392,14698,14609,14580
91,12287,13309,13668,13807,13565,14886,13963,13556,14277,13592
92,8658,10642,11706,13168,12900,12620,9273,10711,10955,11256
93,9663,13369,11373,14698,13374,14277,13414,12105,11706,8426
94,5357,9644,5603,6161,8712,5307,12473,14426,6022,5420
95,4116,14759,8396,9663,5338,3829,3986,5663,5166,6563
96,4116,8396,5338,10206,14759,9663,5663,8740,5166,3829
97,14759,14436,14698,13641,14277,14606,13336,13140,14767,14096
98,13335,13098,14983,13276,12369,14277,13263,13602,13592,13692
99,8440,8455,8319,11287,7942,10206,10607,7485,10107,7974
100,12864,14277,13461,13012,14174,13005,14240,14944,13579,12821
101,14018,13461,14833,13309,13879,14446,14277,14358,13005,14202
102,13448,13787,11923,13909,13869,14277,13077,13541,14174,14812
103,12742,12908,13461,11634,12800,11611,9194,13335,12906,12287
104,12776,13461,12190,13474,13349,14665,14608,13283,13565,14151
105,3305,4955,11706,1637,3655,1643,1911,12202,3799,4584
106,6889,7464,10836,10189,12768,12060,11706,7103,8281,11043
107,14928,14631,13787,13028,14581,13103,14127,13336,14140,13335
108,14928,14631,13787,13028,14581,13103,14127,13336,14140,13335
109,13649,13336,13787,14665,13461,14678,14358,13678,13556,13963
110,13649,13336,13787,14665,14678,13461,14358,13678,13556,14277
111,7216,12572,7811,7742,8274,10777,7593,7353,9247,8814
112,14928,14631,13787,13028,13103,14127,14581,14358,13336,13491
113,14928,13787,14631,13028,13103,14581,14127,14140,13336,14261
114,11768,11706,13410,10557,11159,13461,13216,13336,13311,12063
115,14928,14631,13787,13028,14581,13103,14127,13336,14140,13335
116,13228,14580,14436,14277,14093,14698,13909,13787,13886,14520
117,12232,14277,12692,13690,14151,11159,12591,12318,12473,13331
118,14161,14248,13384,13676,13027,14877,14055,12591,12374,14665
119,13678,13787,13909,13461,13326,14358,13336,11706,14174,14140
120,13678,13787,14277,13909,13336,13580,13963,13461,14174,13792
121,11655,13369,14234,12538,12048,14258,12906,13874,11904,12842
122,13678,13787,14277,13580,13909,13336,13461,13963,14174,14767
123,12067,13410,13029,13535,13384,13369,12083,13443,12608,12842
124,13273,13787,12473,13369,13335,14355,14983,13539,13963,14465
125,13678,13787,14277,13580,13336,13909,13461,14174,13963,14767
126,13678,13787,14277,13580,13909,13336,13461,13963,14174,14767
127,13678,13787,14277,13580,13909,13336,13461,13963,14174,14767
128,13678,13787,14277,13461,13580,13909,14240,13336,14103,14877
129,13678,13787,14277,13909,13336,13580,14174,13963,13461,14767
130,13678,13787,14277,13580,13909,13336,13461,13963,14174,14767
131,13678,13787,14277,13580,13909,13336,13461,13963,14174,14767
132,13678,13787,14277,13580,13909,13336,13461,13963,14174,14767
133,3404,5784,5397,12473,8712,3748,5255,11706,4333,5071
134,8737,11706,8434,11592,12570,12198,12121,10160,11155,8614
135,13678,13787,14277,13461,13580,13336,13909,14174,13963,11706
136,10617,4007,9428,13403,10942,13695,13230,13269,13602,10190
137,11762,12591,13592,12228,13579,13156,13403,11706,12842,14234
138,12369,13795,13176,13263,14983,13326,13384,14234,12842,14240
139,13678,13787,14277,13580,13909,13336,13461,13963,14174,14767
140,13012,14944,13461,13359,13336,13579,13787,14277,14698,14358
141,8290,6745,6352,8822,12673,8548,10362,10557,6784,9544
142,13678,13787,14277,13909,14174,13336,14473,14234,14983,13326
143,7593,10557,9315,11658,11706,11278,9208,11159,12915,8991
144,4955,3305,3655,3799,11706,1643,1637,5238,12473,4561
145,13678,13787,14277,13909,11706,14580,14174,13461,13584,14473
146,13678,13787,14277,13909,13963,13336,13580,14174,13461,14767
147,12839,14556,13579,12664,11098,12591,14826,12061,14490,13263
148,14195,13787,14103,14812,14473,13855,14524,14565,13335,13293
149,13678,13787,14277,13909,13336,13461,13963,14174,14698,14358
150,13228,14580,14436,14698,14277,14093,14283,14223,13963,13336
151,12586,12023,3271,13140,14580,14661,11722,13609,3876,12535
152,13678,13787,13909,14277,13584,13326,14756,13580,14983,13336
153,13678,13787,14277,14756,13909,13792,14174,13580,14812,13336
154,4508,11706,8152,5961,11652,7468,5071,14314,6088,5308
155,14803,13787,13491,14698,13792,13336,14556,14938,14877,13963
156,4732,6463,5238,5255,6681,4853,5487,8152,5520,5782
157,3780,5141,5842,13404,8152,4311,6034,4767,5397,7530
158,12513,12591,13410,12767,12821,13276,12473,13369,11159,14542
159,10741,7719,9162,14446,10876,11643,13565,14316,11706,14107
160,8843,11018,12138,9476,10836,8740,12190,9942,9645,9191
161,8843,11018,9191,12138,9476,10836,9645,12318,13349,8740
162,13678,13787,14277,13580,13909,13336,13461,14174,13963,13792
163,14131,13461,13410,13336,14580,12138,14665,13349,13963,12591
164,13570,13461,14646,13336,13787,13349,14151,13374,14277,14185
165,8843,11018,12138,9191,9476,9645,10836,13349,9942,8740
166,14695,4258,14115,13211,7582,11357,4459,8426,6497,4610
167,14546,13963,14392,13276,14206,13461,14706,14580,13565,13787
168,13678,13787,14277,13909,14473,14756,13336,14174,11706,14698
169,8843,12138,11018,13282,9191,8740,13461,9476,13533,12318
170,14890,11768,14234,13674,13443,14552,14151,14446,11018,13818
171,3619,5238,4140,6087,3543,5997,5420,7871,5800,10836
172,7196,8152,7468,8252,11706,10331,7742,6088,8505,8676
173,7427,8205,9828,10258,14684,13312,13263,11933,13609,13401
174,13698,13336,13787,13476,14944,14459,13909,13461,13545,14665
175,3619,5238,4140,6087,3543,5997,5420,7871,5800,10836
176,13509,12473,13461,13680,14580,13283,13773,13592,13336,13775
177,13649,13336,13461,14665,13787,13556,13678,14678,14358,13963
178,8441,11045,10557,8252,11768,12651,9031,8272,11159,8814
179,7871,7811,8319,13072,12138,11768,10189,9541,11287,6681
180,8546,12138,11706,10074,10115,10836,12524,12547,8975,13349
181,13175,14277,6161,14234,13161,13491,7047,13005,11706,13429
182,3619,5238,4140,6087,3543,5997,5420,7871,5800,10836
183,7535,8975,12138,11768,7582,12670,9822,11287,10557,9265
184,10567,12138,10836,14446,12591,12232,11018,12131,14277,11159
185,5697,6463,7811,8252,7608,12088,6131,7358,8432,7468
186,11854,14314,11652,540,14756,13941,13746,10835,9949,11029
187,12948,12181,13609,12538,14556,13410,11706,12473,12476,12839
188,11972,13326,12535,13940,13695,11768,12621,13592,14049,13098
189,8843,11018,12138,9645,9476,9191,10836,8740,10773,9942
190,13005,14944,14277,14240,13565,14756,13331,13276,14178,13518
191,11365,11768,12246,12903,11018,12070,12908,14446,11458,12138
192,13207,12910,12591,11706,10836,12366,13028,12138,12749,13461
193,5903,8252,6463,6519,8152,12088,10621,7811,6804,8505
194,11611,12138,12547,12800,10836,12063,14148,11904,12908,11817
195,5742,11706,8505,6390,12670,5961,8320,9553,12473,6022
196,13711,14698,13963,13414,13787,13535,14983,13276,14355,14392
197,12429,12662,14536,14665,13419,13306,13688,13461,12318,14580
198,2489,11648,10621,4838,2719,14120,6519,4874,10857,3753
199,7468,10206,8252,8152,9316,7950,10173,12088,6463,7742
200,13649,13336,13787,14665,13461,13556,14678,14358,14277,13963
201,9441,12088,10557,11159,12232,14834,13410,12118,11648,11942
202,5742,11706,8505,6390,12670,5961,8320,6022,9553,12473
203,6668,10461,10621,8252,10160,8328,10174,12088,9247,10173
204,4838,14204,8152,6519,5739,12425,7235,6602,10763,8631
205,8546,11706,12138,10074,12547,10115,12524,13349,10836,8975
206,5436,7468,12006,6463,10160,12704,8152,9044,10659,9012
207,14248,12621,13276,13793,13780,12473,13963,13263,13592,14283
208,5158,6463,8207,10429,5961,6382,6780,6873,5524,8505
209,14637,13461,14016,14877,14580,13335,14944,14314,14605,13506
210,12473,3305,3799,11706,1911,3629,4955,4459,1637,2256
211,5541,6161,6668,6240,6356,13611,9689,10206,5718,9441
212,11592,13688,13410,14716,12547,14358,13369,13609,13777,12198
213,11643,13461,11706,11018,13818,11768,13349,12138,12288,12626
214,5786,12138,10115,9645,8252,7950,5557,4695,5036,9273
215,11706,3305,12473,12202,3799,13674,3829,3655,4955,4478
216,10567,12138,14446,12591,10836,14277,13336,11018,13309,12232
217,13310,12912,13410,12538,13656,14234,14170,13609,13263,13909
218,14928,14631,13787,13103,13028,14127,14581,14261,14935,12912
219,14500,13140,12938,13963,14326,13374,14277,13118,13335,13461
220,6215,6693,8505,6448,8774,8970,10659,8434,12177,9247
221,8843,11018,9191,12138,9645,10836,9476,12318,9012,8774
222,13649,13336,13787,14665,13461,14678,13678,13963,14358,13556
223,14549,13649,14608,13461,14852,13787,14247,14304,13369,12138
